timestamp,age,gender,job_position,num_employees,work_type,workload_rating,work_hours,work_life_balance,how_significantly_have_mental_health_challenges_affected_the_following_areas_of_your_life_1least_5most_job_performance,how_significantly_have_mental_health_challenges_affected_the_following_areas_of_your_life_1least_5most_personal_relationships,how_significantly_have_mental_health_challenges_affected_the_following_areas_of_your_life_1least_5most_physical_health,how_significantly_have_mental_health_challenges_affected_the_following_areas_of_your_life_1least_5most_ability_to_focus,how_significantly_have_mental_health_challenges_affected_the_following_areas_of_your_life_1least_5most_motivation_at_work,how_significantly_have_mental_health_challenges_affected_the_following_areas_of_your_life_1least_5most_overall_mental_wellbeing,_how_often_do_you_feel_stressed_or_overwhelmed_due_to_workrelated_challenges__,workplace_support,consider_leaving,workplace_mental_health_support,negative_consequences,used_mental_health_resources,observed_neg_consequences,digital_overload,work_personal_separation,additional_comments,state,country,primary_cause__freedom_to_take_leaves_for_personal_engagement,primary_cause__workplace_conflicts_(e.g.,primary_cause__harassment),primary_cause__poor_management_practices,primary_cause__lack_of_work-life_balance,primary_cause__toxic_environment,primary_cause__workload_&_deadlines,primary_cause__long_or_inflexible_working_hours,primary_cause__job_insecurity,primary_cause__role_ambiguity_(unclear_expectations_or_responsibilities),secondary_cause__physical_work_environment_(e.g.,secondary_cause__technology_overload_or_digital_fatigue,secondary_cause__limited_access_to_mental_health_resources,secondary_cause__external_personal_factors_impacting_work,secondary_cause__lack_of_recognition_or_rewards,secondary_cause__comfort),secondary_cause__noise,mental_health_resource_anonymous_mental_health_surveys_or_feedback_channels,mental_health_resource_regular_check-ins_or_one-on-one_meetings_with_managers,mental_health_resource_mental_health_awareness_or_training_sessions,mental_health_resource_flexible_hours),mental_health_resource_on-site_counselors_or_therapists,mental_health_resource_no_after-hours_emails),mental_health_resource_remote_work,mental_health_resource_na,mental_health_resource_quiet_zones_or_dedicated_spaces_for_breaks,mental_health_resource_flexible_work_policies_(e.g.,mental_health_resource_employee_assistance_programs_(eaps),mental_health_resource_conflict_resolution_or_grievance_redressal_systems,mental_health_resource_well-defined_boundaries_for_working_hours_(e.g.,mental_health_resource_stress_management_workshops,solution__encouraging_a_culture_of_work-life_balance,solution__recognition_and_rewards_for_performance,solution__improved_access_to_mental_health_resources,solution__open_communication_channels_for_feedback_and_concerns,solution__regular_mental_health_awareness_and_training_programs,solution__regular_breaks_and_vacation_policies,solution__flexible_working_hours,solution__enhanced_physical_work_environment_(e.g.,solution__conflict_resolution_or_better_interpersonal_management,solution__reduced_workload_or_better_workload_management,solution__clearer_role_definitions_and_expectations,solution__ergonomics,solution__counseling_and_therapy_support,solution__quiet_spaces)
11/01/2025 09:39:44,25.0,male,Quant Intern,1-10,Remote,3,25,no,1,3,3,3,4,3,Often,2,yes,maybe,yes,no,3,5,yes,,gurugram,india,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0
11/01/2025 10:44:01,45.0,male,Head -Mutual Fund,51-250,On-site,3,65,maybe,4,5,3,4,5,4,Sometimes,3,yes,no,no,no,3,3,no,Balancing is an act and that you have to learn. As early you learn you will be benefited it from corporate world ,mumbai,india,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0
11/01/2025 10:44:44,45.0,male,Compliance,51-250,On-site,3,55,no,2,4,4,4,2,2,Often,2,yes,no,yes,no,4,3,maybe,The facility to the resources and the extended insurance cover with some incentives will always boost the employee,maharashtra,india,0,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1
11/01/2025 10:47:42,45.0,male,"VP, Institutional Equity ",251-500,On-site,3,45,yes,4,4,3,3,4,4,Often,3,yes,yes,yes,yes,3,3,yes,No,mumbai,india,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11/01/2025 10:54:13,35.0,male,Manager Academics ,251-500,Hybrid,4,45,no,3,3,3,3,3,3,Sometimes,2,yes,no,maybe,no,3,3,yes,Nil,delhi,india,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0
11/01/2025 10:54:37,45.0,male,V.P,51-250,Hybrid,4,75,maybe,3,2,3,2,3,3,Always,3,no,yes,no,yes,2,3,maybe,Mandatory leaves must be in place at all organization; Fun activities to be organized regularly; Get together away from the office etc.,maharashtra,india,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0
11/01/2025 11:07:32,25.0,male,ACCOUNTING (MANEGER AT SHIVANI ACCOUNTANCY),11-50,On-site,5,75,yes,5,5,4,5,5,4,Rarely,2,no,no,no,"Yes, they were very helpful",4,4,yes,No,madhya pradesh,india,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11/01/2025 11:19:36,45.0,male,20,51-250,On-site,4,35,yes,1,1,4,2,4,4,Sometimes,3,no,no,no,no,2,2,yes,,maharashtra,india,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11/01/2025 11:27:17,45.0,male,Director - Information Communication systems,11-50,Remote,3,45,maybe,2,2,1,2,2,2,Sometimes,4,no,yes,maybe,no,3,4,yes,,united arab emirates,UAE,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,1,0,1,1,0,0,1,1,1,0,1,0,1,1,1
11/01/2025 11:28:03,45.0,male,Sales,500+,On-site,4,65,maybe,3,4,4,3,3,4,Sometimes,3,no,yes,no,no,3,3,yes,Regular communication between manager,mumbai,india,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0
11/01/2025 11:46:29,45.0,female,Director,11-50,Hybrid,4,35,yes,4,5,4,4,4,4,Rarely,5,no,"Yes, very extensively",no,"Yes, they were very helpful",1,2,yes,"It all lies in ones own mind and how one trains it. Challenges are everywhere. But yes, when in doubt do ask for a help and donot struggle alone.",dubai,uae,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1
11/01/2025 11:59:20,35.0,male,Fund Manager,51-250,On-site,3,55,yes,2,2,5,4,5,5,Sometimes,2,no,no,no,no,4,1,yes,"In Mumbai - Every Stress is related to travelling, daily travelling by locals the biggest stress in Mumbai, which eventually results in mental stress at work, lower performance, health issues etcâ€¦",maharashtra,india,0,1,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,0,1,1,0,1
11/01/2025 12:02:36,35.0,female,Banking Service (Treasury Department),500+,On-site,5,45,no,2,2,2,2,3,3,Often,3,yes,yes,maybe,no,3,1,maybe,Need quality working process and reasonable working hours,maharashtra,india,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,1
11/01/2025 12:06:17,45.0,male,Manager ,11-50,Hybrid,5,55,maybe,3,4,4,4,3,3,Sometimes,1,no,no,maybe,no,1,4,yes,,usa,usa,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,1,0,1
11/01/2025 12:07:34,45.0,male,Self employed ,11-50,On-site,3,25,maybe,1,2,2,1,1,2,Sometimes,3,no,maybe,maybe,no,1,3,yes,,kolkata,india,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11/01/2025 12:29:29,35.0,male,"Financial Services, Senior Manager",1-10,On-site,3,55,no,3,3,3,3,3,3,Rarely,5,no,"Yes, very extensively",no,"Yes, they were very helpful",3,3,yes,,india,india,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0
11/01/2025 12:30:05,35.0,male,Production Manager,251-500,On-site,4,65,maybe,4,5,4,4,4,5,Often,2,no,no,yes,no,4,3,yes,Proper systemises work and following that systemises work can reduce mental health problem,indore,india,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
11/01/2025 12:57:29,35.0,male,Media & Journalist,500+,Hybrid,3,45,yes,3,3,3,3,3,3,Sometimes,2,yes,yes,no,no,2,3,yes,,bangalore,india,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0
11/01/2025 13:09:03,45.0,female,AVP,251-500,Hybrid,4,55,yes,4,4,2,3,3,3,Sometimes,4,no,maybe,no,no,2,3,no,,mumbai,india,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0
11/01/2025 13:29:05,45.0,male,Vice President ,51-250,On-site,4,65,no,2,3,3,1,1,2,Sometimes,2,no,no,no,no,3,4,yes,GEPL Capital,maharashtra,india,0,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1
11/01/2025 13:42:53,35.0,male,Delivery lead,500+,Hybrid,3,45,yes,3,2,3,2,3,3,Sometimes,3,no,yes,no,yes,2,3,maybe,,bangalore,india,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,1
11/01/2025 14:05:26,45.0,female,academic counsellor ,500+,Hybrid,3,35,yes,2,2,3,2,2,2,Sometimes,2,yes,maybe,maybe,no,2,4,yes,,noida,india,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,1,0
11/01/2025 14:27:31,25.0,male,Senior Contract Administrator,51-250,On-site,5,75,maybe,4,5,4,4,5,5,Sometimes,4,no,"Yes, very extensively",no,no,3,4,no,,qld,australia,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,1,1,0,1,0,1,0,1
11/01/2025 14:36:07,25.0,female,Software developer,500+,Remote,3,45,maybe,3,3,3,3,2,3,Sometimes,4,no,"Yes, very extensively",no,"Yes, they were very helpful",1,2,maybe,,india,india,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11/01/2025 15:01:54,45.0,male,Chief manager ,500+,On-site,5,55,maybe,3,2,4,2,2,4,Sometimes,2,yes,yes,no,yes,2,3,maybe,,maharashtra,india,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
11/01/2025 17:19:12,45.0,male,MD ,11-50,On-site,4,55,yes,1,1,3,2,2,2,Sometimes,4,no,yes,yes,yes,3,4,no,,delhi,india,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0
11/01/2025 18:46:47,45.0,male,Director ,500+,On-site,3,45,yes,3,3,3,3,2,3,Sometimes,3,no,no,maybe,no,3,3,maybe,,uttar pradesh,india,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11/01/2025 19:11:15,35.0,female,Dentist,1-10,On-site,3,55,no,3,3,1,1,1,3,Often,5,yes,maybe,no,no,3,3,maybe,,maharashtra,india,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11/01/2025 20:42:40,45.0,male,Director,251-500,Hybrid,4,55,maybe,2,4,3,2,1,2,Sometimes,3,no,yes,no,"Yes, they were very helpful",2,4,maybe,,delhi,india,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0
11/01/2025 23:44:03,45.0,male,Editorial,500+,Hybrid,3,45,yes,3,2,3,2,3,3,Sometimes,3,yes,no,yes,no,2,5,yes,,india,india,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
12/01/2025 00:26:00,45.0,male,MUtual Fund Distributor,1-10,Hybrid,3,45,maybe,3,3,3,3,3,3,Sometimes,2,no,yes,yes,yes,2,3,no,No,maharashtra,india,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0
12/01/2025 05:21:36,45.0,male,"Decision Science, Director",500+,Hybrid,4,55,no,5,5,4,4,4,5,Always,2,yes,yes,maybe,no,3,4,maybe,,delhi,india,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0
12/01/2025 08:19:29,45.0,female,Customer Delight - Asst. Manager,500+,On-site,2,45,no,4,5,5,5,5,5,Often,4,yes,yes,yes,no,4,4,maybe,"As we all know that we are replaceable, hence dont consider work as your life. ",uttar pradesh,india,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1,1,1,1
12/01/2025 08:39:02,45.0,female,"News Editor, business today",500+,On-site,4,45,yes,1,3,3,1,1,2,Sometimes,4,no,"Yes, very extensively",no,no,3,3,yes,I feel my organization is doing enough for work-life balance. I feel they should stick to it,noida,uttar pradesh,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0
12/01/2025 09:42:06,45.0,male,Civil engg Senior manager ,500+,On-site,5,75,maybe,4,5,4,4,3,5,Always,3,no,yes,no,"Yes, they were very helpful",4,4,maybe,Stressful environment n time to give family life ,maharashtra,india,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
12/01/2025 09:59:34,35.0,female,BD,500+,Hybrid,3,35,maybe,3,3,4,3,4,4,Sometimes,2,yes,maybe,maybe,no,3,3,maybe,,delhi,india,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
12/01/2025 10:29:35,45.0,female,Mangement of unreserved ticketing over Northern Railway,500+,On-site,3,35,maybe,1,3,2,1,1,1,Sometimes,5,no,no,no,no,1,1,no,Equal distribution of work at workplace,delhi,india,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12/01/2025 11:08:40,45.0,male,Equity dealer,51-250,On-site,4,55,yes,3,3,1,1,1,1,Sometimes,3,no,yes,yes,yes,3,3,maybe,,maharashtra,india,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
12/01/2025 12:27:07,45.0,male,Clerical as Supervisor ,500+,On-site,5,45,yes,4,3,1,3,2,4,Sometimes,2,no,no,yes,no,1,2,maybe,,delhi,india,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
12/01/2025 12:46:09,45.0,female,Service,251-500,On-site,3,35,yes,2,1,4,3,3,4,Sometimes,3,yes,"Yes, very extensively",no,no,1,2,yes,,delhi,india,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
12/01/2025 13:30:40,45.0,female,Project Manager,51-250,Hybrid,5,75,maybe,3,2,1,3,4,2,Often,3,yes,no,maybe,no,4,5,yes,"Like other countries, India should also make office hours policies .",india,india,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1
12/01/2025 15:22:51,45.0,female,Executive Director ,11-50,Hybrid,2,25,yes,1,1,1,1,1,1,Never,5,no,no,maybe,no,2,1,no,,karnataka,india,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12/01/2025 15:33:34,45.0,female,"Team lead, handling project deliverables and resourced ",500+,Hybrid,3,45,maybe,1,1,3,1,2,2,Sometimes,2,no,yes,maybe,yes,3,3,maybe,WFH option should be provided,karnataka,india,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
12/01/2025 15:41:51,45.0,male,Manager IT,500+,On-site,3,35,yes,3,3,3,3,2,3,Sometimes,3,no,yes,no,no,1,3,no,,karnataka,india,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0
12/01/2025 15:56:14,35.0,male,"Software, vice president ",500+,Hybrid,3,35,yes,2,3,3,2,2,2,Sometimes,2,yes,"Yes, very extensively",maybe,no,2,3,yes,,karnataka,india,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0
12/01/2025 16:54:08,35.0,female,Test Automation and Principal Software Engineer ,500+,Remote,3,35,yes,3,3,5,3,3,3,Rarely,3,no,yes,no,yes,3,4,maybe,Regular Connect ,karnataka,india,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0
12/01/2025 18:52:15,45.0,male,Solutions Architect ,500+,On-site,4,45,yes,1,1,1,1,1,1,Rarely,4,no,"Yes, very extensively",no,"Yes, they were very helpful",2,3,maybe,,northampton,uk,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12/01/2025 21:10:47,35.0,female,Test lead,251-500,Remote,2,25,yes,4,1,4,5,5,4,Sometimes,3,no,"Yes, very extensively",yes,"Yes, they were very helpful",3,3,yes,,karnataka,india,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
12/01/2025 21:19:13,25.0,male,IT Professional ,500+,Hybrid,4,35,maybe,3,3,4,3,3,4,Often,3,yes,yes,maybe,no,3,2,maybe,Health checkup should be included on regular basis ,karnataka,india,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0
12/01/2025 22:18:30,45.0,female,Human Resources ,500+,Hybrid,5,45,maybe,3,3,3,4,4,3,Sometimes,2,no,maybe,maybe,no,3,3,maybe,No,mumbai,india,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0
12/01/2025 22:27:52,45.0,male,"Bank - IT, Manager ",500+,On-site,4,65,maybe,4,4,3,4,4,3,Often,3,yes,yes,maybe,no,4,4,yes,Sufficient man power to be provided to distribute work load which helps to mininise the mental stress at work place.,maharashtra,india,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
13/01/2025 09:32:51,35.0,female,Sr Network Operations analyst ,500+,Hybrid,3,45,yes,3,3,4,3,3,3,Sometimes,3,no,yes,no,yes,3,3,no,Na,india,india,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0
13/01/2025 10:50:11,45.0,male,Salaried,500+,On-site,5,55,yes,3,3,3,3,3,3,Sometimes,2,no,no,no,"Yes, they were very helpful",2,2,no,,maharashtra,india,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
15/01/2025 13:37:28,45.0,male,HR,500+,Hybrid,5,45,no,4,4,4,4,4,4,Always,1,yes,yes,maybe,no,3,3,yes,,gurgaon,india,0,1,1,0,1,1,1,0,1,0,1,0,1,0,1,1,1,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0
16/01/2025 18:42:51,45.0,female,Teaching ,11-50,On-site,3,35,yes,4,4,4,4,4,4,Sometimes,5,no,"Yes, very extensively",no,"Yes, they were very helpful",2,2,maybe,Mental health is most important part of life and it should be taken care of with utmost care ,bihar,india,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
16/01/2025 22:06:53,45.0,male,"Regional Manager, Sales",51-250,On-site,5,65,no,1,3,4,1,1,2,Sometimes,1,no,no,no,no,2,3,yes,Individuals need to get the stress out of the system after work hours like our earlier generations. They use to share their feelings with family and friends after work hours helping them cope up.,maharashtra,india,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0,1,0,0,0
